Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Chicago,IL,1,19,15,,,,,
Harwood Heights,IL,18,30,15,,,,,
Elmwood Park,IL,20,25,14,,,,,
Lincolnwood,IL,21,16,14,,,,,
Niles,IL,20,30,14,,,,,
Alsip,IL,18,12,15,,,,,
Cicero,IL,20,24,13,,,,,
Evergreen Park,IL,21,33,14,,,,,
Riverdale,IL,21,14,16,,,,,
Kankakee,IL,20,27,15,,,,,
Kankakee,IL,1,27,15,,,,,
Aroma Park,IL,22,20,15,,,,,
Ashkum,IL,16,14,16,,,,,
Beaverville,IL,21,19,16,,,,,
Bonfield,IL,19,23,15,,,,,
Bourbonnais,IL,18,20,14,,,,,
Bradley,IL,15,18,16,,,,,
Buckingham,IL,17,22,15,,,,,
Buckley,IL,9,21,16,,,,,
Cabery,IL,20,26,13,,,,,
Campus,IL,20,26,15,,,,,
Chatsworth,IL,16,26,17,,,,,
Chebanse,IL,12,22,16,,,,,
Cissna Park,IL,20,27,13,,,,,
Claytonville,IL,21,25,16,,,,,
Clifton,IL,19,25,15,,,,,
Crescent City,IL,16,30,14,,,,,
Cullom,IL,18,29,14,,,,,
Danforth,IL,17,23,14,,,,,
Donovan,IL,15,32,16,,,,,
East Lynn,IL,23,21,14,,,,,
Elliott,IL,14,29,15,,,,,
Emington,IL,21,28,15,,,,,
Essex,IL,11,22,16,,,,,
Gibson City,IL,26,27,15,,,,,
Gilman,IL,14,25,14,,,,,
Goodwine,IL,19,31,14,,,,,
Grant Park,IL,15,24,13,,,,,
Herscher,IL,18,44,17,,,,,
Hoopeston,IL,17,15,16,,,,,
Hopkins Park,IL,12,13,17,,,,,
Iroquois,IL,17,27,16,,,,,
Kempton,IL,21,25,14,,,,,
Loda,IL,18,19,15,,,,,
Ludlow,IL,19,15,14,,,,,
Manteno,IL,20,24,16,,,,,
Martinton,IL,14,23,14,,,,,
Melvin,IL,17,24,14,,,,,
Milford,IL,11,21,13,,,,,
Momence,IL,13,26,14,,,,,
Onarga,IL,20,28,15,,,,,
Papineau,IL,18,31,16,,,,,
Paxton,IL,17,23,14,,,,,
Piper City,IL,16,25,15,,,,,
Rankin,IL,13,22,16,,,,,
Reddick,IL,18,17,16,,,,,
Roberts,IL,17,15,16,,,,,
Rossville,IL,19,16,13,,,,,
Saint Anne,IL,16,20,14,,,,,
Sheldon,IL,14,17,15,,,,,
Stockland,IL,15,21,15,,,,,
Thawville,IL,21,20,12,,,,,
Union Hill,IL,17,20,15,,,,,
Watseka,IL,14,29,15,,,,,
Wellington,IL,19,24,14,,,,,
Woodland,IL,15,34,14,,,,,
Apple River,IL,81,26,16,,,,,
Ashton,IL,41,14,16,,,,,
Baileyville,IL,38,15,15,,,,,
Belvidere,IL,29,18,15,,,,,
Byron,IL,18,26,14,,,,,
Caledonia,IL,14,27,14,,,,,
Capron,IL,14,27,14,,,,,
Cedarville,IL,20,27,15,,,,,
Chadwick,IL,15,24,14,,,,,
Chana,IL,10,27,15,,,,,
Cherry Valley,IL,26,22,16,,,,,
Coleta,IL,19,28,14,,,,,
Dakota,IL,12,24,14,,,,,
Davis,IL,19,31,15,,,,,
Davis Junction,IL,7,30,15,,,,,
Dixon,IL,14,32,15,,,,,
Durand,IL,16,31,15,,,,,
East Dubuque,IL,15,29,14,,,,,
Eleroy,IL,13,32,15,,,,,
Elizabeth,IL,15,25,15,,,,,
Forreston,IL,25,30,15,,,,,
Franklin Grove,IL,11,28,14,,,,,
Freeport,IL,15,31,14,,,,,
Galena,IL,14,33,15,,,,,
Galt,IL,11,31,15,,,,,
Garden Prairie,IL,10,30,14,,,,,
German Valley,IL,17,30,14,,,,,
Hanover,IL,24,29,16,,,,,
Harmon,IL,17,33,13,,,,,
Holcomb,IL,18,31,14,,,,,
Kent,IL,20,21,15,,,,,
Lanark,IL,22,16,16,,,,,
Leaf River,IL,18,21,13,,,,,
Lena,IL,18,14,14,,,,,
Lindenwood,IL,13,17,16,,,,,
Mc Connell,IL,27,29,14,,,,,
Milledgeville,IL,13,23,14,,,,,
Monroe Center,IL,19,16,13,,,,,
Mount Carroll,IL,21,29,14,,,,,
Mount Morris,IL,14,30,16,,,,,
Nachusa,IL,15,24,14,,,,,
Nelson,IL,14,24,15,,,,,
Nora,IL,12,21,14,,,,,
Orangeville,IL,21,24,15,,,,,
Oregon,IL,13,23,15,,,,,
Pearl City,IL,18,27,14,,,,,
Pecatonica,IL,12,33,12,,,,,
Polo,IL,14,32,14,,,,,
Poplar Grove,IL,11,29,15,,,,,
Ridott,IL,23,17,16,,,,,
Rochelle,IL,18,13,15,,,,,
Rock City,IL,13,21,16,,,,,
Rock Falls,IL,10,21,15,,,,,
Rockton,IL,14,13,13,,,,,
Roscoe,IL,16,18,16,,,,,
Savanna,IL,16,14,16,,,,,
Scales Mound,IL,18,15,16,,,,,
Scioto Mills,IL,11,17,16,,,,,
Seward,IL,13,22,15,,,,,
Shannon,IL,14,16,15,,,,,
Shirland,IL,25,19,16,,,,,
South Beloit,IL,17,14,13,,,,,
Sterling,IL,17,16,13,,,,,
Stillman Valley,IL,16,13,14,,,,,
Stockton,IL,11,21,14,,,,,
Warren,IL,18,16,13,,,,,
Winnebago,IL,15,30,15,,,,,
Winslow,IL,19,31,14,,,,,
Woosung,IL,12,25,15,,,,,
Rockford,IL,26,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Loves Park,IL,35,15,13,,,,,
Rockford,IL,3,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Machesney Park,IL,35,21,15,,,,,
Rockford,IL,3,18,16,,,,,
Rockford,IL,1,18,16,,,,,
Loves Park,IL,4,15,13,,,,,
Loves Park,IL,1,15,13,,,,,
Loves Park,IL,1,15,13,,,,,
Rock Island,IL,12,20,13,,,,,
Rock Island,IL,1,20,13,,,,,
Rock Island,IL,1,20,13,,,,,
Albany,IL,51,17,15,,,,,
Aledo,IL,32,17,15,,,,,
Andalusia,IL,29,19,15,,,,,
Andover,IL,14,14,15,,,,,
Annawan,IL,15,22,15,,,,,
Atkinson,IL,20,16,17,,,,,
Barstow,IL,16,15,14,,,,,
Buffalo Prairie,IL,12,25,15,,,,,
Cambridge,IL,19,26,15,,,,,
Carbon Cliff,IL,13,25,14,,,,,
Coal Valley,IL,19,26,15,,,,,
Colona,IL,14,23,14,,,,,
Cordova,IL,20,30,14,,,,,
Deer Grove,IL,18,24,14,,,,,
East Moline,IL,21,24,13,,,,,
Erie,IL,19,28,14,,,,,
Fenton,IL,23,28,14,,,,,
Fulton,IL,19,33,15,,,,,
Geneseo,IL,20,26,15,,,,,
Hampton,IL,19,33,16,,,,,
Hillsdale,IL,19,38,16,,,,,
Hooppole,IL,12,15,16,,,,,
Illinois City,IL,22,13,14,,,,,
Joy,IL,17,30,16,,,,,
Lyndon,IL,22,17,14,,,,,
Lynn Center,IL,7,18,15,,,,,
Matherville,IL,20,24,14,,,,,
Milan,IL,19,24,13,,,,,
Moline,IL,14,28,14,,,,,
Moline,IL,1,28,14,,,,,
Morrison,IL,16,28,12,,,,,
New Boston,IL,18,23,15,,,,,
Orion,IL,13,24,14,,,,,
Osco,IL,19,28,16,,,,,
Port Byron,IL,19,26,16,,,,,
Preemption,IL,17,13,14,,,,,
Prophetstown,IL,9,13,15,,,,,
Rapids City,IL,16,19,16,,,,,
Reynolds,IL,15,16,17,,,,,
Sherrard,IL,22,20,16,,,,,
Silvis,IL,17,22,10,,,,,
Tampico,IL,26,24,13,,,,,
Taylor Ridge,IL,12,25,14,,,,,
Thomson,IL,14,19,15,,,,,
Rock Island,IL,7,20,13,,,,,
La Salle,IL,34,26,15,,,,,
Amboy,IL,42,15,15,,,,,
Ancona,IL,22,17,14,,,,,
Arlington,IL,23,16,17,,,,,
Blackstone,IL,34,17,15,,,,,
Buda,IL,18,20,15,,,,,
Bureau,IL,13,28,14,,,,,
Cedar Point,IL,23,28,12,,,,,
Cherry,IL,14,18,17,,,,,
Compton,IL,24,27,15,,,,,
Cornell,IL,15,27,14,,,,,
Dalzell,IL,17,25,14,,,,,
Dana,IL,10,29,15,,,,,
Depue,IL,22,30,13,,,,,
Dover,IL,16,27,13,,,,,
Eldena,IL,12,31,16,,,,,
Grand Ridge,IL,19,29,16,,,,,
Granville,IL,12,23,15,,,,,
Hennepin,IL,23,36,13,,,,,
Kasbeer,IL,15,30,17,,,,,
Ladd,IL,29,19,14,,,,,
La Moille,IL,16,22,15,,,,,
Lee Center,IL,18,14,16,,,,,
Leonore,IL,19,15,13,,,,,
Long Point,IL,15,16,15,,,,,
Lostant,IL,10,18,14,,,,,
Mc Nabb,IL,17,28,13,,,,,
Magnolia,IL,19,26,16,,,,,
Malden,IL,13,20,16,,,,,
Manlius,IL,12,25,14,,,,,
Mark,IL,16,26,12,,,,,
Marseilles,IL,18,24,13,,,,,
Mendota,IL,16,22,16,,,,,
Mineral,IL,25,26,13,,,,,
Neponset,IL,22,25,14,,,,,
New Bedford,IL,12,22,15,,,,,
Oglesby,IL,13,25,16,,,,,
Ohio,IL,10,23,16,,,,,
Ottawa,IL,19,21,15,,,,,
Paw Paw,IL,17,29,15,,,,,
Peru,IL,17,23,16,,,,,
Princeton,IL,16,11,15,,,,,
Rutland,IL,24,9,16,,,,,
Seatonville,IL,22,21,15,,,,,
Seneca,IL,18,22,15,,,,,
Sheffield,IL,16,12,15,,,,,
Spring Valley,IL,18,15,14,,,,,
Standard,IL,14,22,13,,,,,
Streator,IL,14,21,14,,,,,
Sublette,IL,12,16,13,,,,,
Tiskilwa,IL,23,22,15,,,,,
Toluca,IL,14,21,15,,,,,
Tonica,IL,14,21,12,,,,,
Triumph,IL,11,26,12,,,,,
Troy Grove,IL,8,22,16,,,,,
Utica,IL,19,18,13,,,,,
Van Orin,IL,19,21,13,,,,,
Varna,IL,10,24,14,,,,,
Walnut,IL,21,21,15,,,,,
Wenona,IL,16,21,14,,,,,
West Brooklyn,IL,13,19,15,,,,,
Wyanet,IL,17,27,12,,,,,
Galesburg,IL,68,31,14,,,,,
Galesburg,IL,1,31,14,,,,,
Abingdon,IL,33,16,15,,,,,
Adair,IL,21,12,15,,,,,
Alexis,IL,19,17,16,,,,,
Alpha,IL,14,14,15,,,,,
Altona,IL,19,14,15,,,,,
Avon,IL,25,17,16,,,,,
Bardolph,IL,26,18,16,,,,,
Berwick,IL,14,21,14,,,,,
Biggsville,IL,11,22,13,,,,,
Bishop Hill,IL,15,21,14,,,,,
Blandinsville,IL,23,14,15,,,,,
Bradford,IL,15,22,16,,,,,
Bushnell,IL,20,27,14,,,,,
Cameron,IL,18,30,14,,,,,
Camp Grove,IL,10,30,14,,,,,
Carman,IL,19,21,15,,,,,
Castleton,IL,14,22,16,,,,,
Cuba,IL,20,30,15,,,,,
Dahinda,IL,11,23,15,,,,,
East Galesburg,IL,14,26,13,,,,,
Ellisville,IL,14,27,14,,,,,
Fairview,IL,21,29,14,,,,,
Fiatt,IL,19,27,15,,,,,
Galva,IL,41,31,15,,,,,
Gerlaw,IL,23,31,13,,,,,
Gilson,IL,25,24,14,,,,,
Gladstone,IL,18,36,15,,,,,
Good Hope,IL,13,32,15,,,,,
Henderson,IL,17,38,14,,,,,
Industry,IL,19,17,16,,,,,
Ipava,IL,12,15,16,,,,,
Keithsburg,IL,17,20,14,,,,,
Kewanee,IL,14,23,15,,,,,
Kirkwood,IL,21,18,16,,,,,
Knoxville,IL,14,25,15,,,,,
La Fayette,IL,9,21,15,,,,,
La Harpe,IL,13,20,15,,,,,
Laura,IL,22,22,15,,,,,
Littleton,IL,23,19,16,,,,,
Little York,IL,15,19,15,,,,,
Lomax,IL,12,21,16,,,,,
Macomb,IL,17,26,14,,,,,
Maquon,IL,21,23,14,,,,,
Marietta,IL,14,25,14,,,,,
Media,IL,19,24,15,,,,,
Monmouth,IL,17,23,13,,,,,
New Windsor,IL,22,22,15,,,,,
North Henderson,IL,27,18,15,,,,,
Oneida,IL,19,24,15,,,,,
Opheim,IL,11,23,15,,,,,
Oquawka,IL,10,21,16,,,,,
Prairie City,IL,20,19,14,,,,,
Raritan,IL,12,17,16,,,,,
Rio,IL,16,15,17,,,,,
Roseville,IL,15,17,13,,,,,
Saint Augustine,IL,19,16,16,,,,,
Sciota,IL,17,17,15,,,,,
Seaton,IL,11,22,13,,,,,
Smithfield,IL,25,19,13,,,,,
Smithshire,IL,13,18,13,,,,,
Speer,IL,16,13,15,,,,,
Stronghurst,IL,14,19,15,,,,,
Table Grove,IL,21,25,15,,,,,
Toulon,IL,16,18,13,,,,,
Vermont,IL,11,25,15,,,,,
Victoria,IL,14,24,15,,,,,
Viola,IL,15,26,14,,,,,
Wataga,IL,14,28,15,,,,,
Williamsfield,IL,25,25,16,,,,,
Woodhull,IL,17,29,15,,,,,
Wyoming,IL,10,30,14,,,,,
Astoria,IL,86,14,17,,,,,
Benson,IL,49,19,14,,,,,
Brimfield,IL,37,19,15,,,,,
Brimfield,IL,1,19,15,,,,,
Bryant,IL,24,24,14,,,,,
Canton,IL,22,23,15,,,,,
Chillicothe,IL,24,21,15,,,,,
Dunfermline,IL,21,27,16,,,,,
Dunlap,IL,11,29,15,,,,,
Edelstein,IL,22,25,15,,,,,
Edwards,IL,21,32,16,,,,,
Elmwood,IL,19,23,16,,,,,
Eureka,IL,20,27,13,,,,,
Farmington,IL,14,31,15,,,,,
Forest City,IL,18,30,14,,,,,
Glasford,IL,19,28,14,,,,,
Green Valley,IL,25,29,14,,,,,
Groveland,IL,23,28,14,,,,,
Hanna City,IL,13,33,15,,,,,
Henry,IL,16,42,15,,,,,
Kingston Mines,IL,18,18,15,,,,,
Lacon,IL,17,21,14,,,,,
La Rose,IL,11,26,17,,,,,
Lewistown,IL,16,18,14,,,,,
Liverpool,IL,17,17,16,,,,,
London Mills,IL,15,19,13,,,,,
Lowpoint,IL,21,18,14,,,,,
Manito,IL,14,27,15,,,,,
Mapleton,IL,11,23,15,,,,,
Metamora,IL,23,24,13,,,,,
Morton,IL,15,28,15,,,,,
Mossville,IL,16,27,15,,,,,
Norris,IL,14,19,14,,,,,
Pekin,IL,22,32,16,,,,,
Pekin,IL,1,32,16,,,,,
Pekin,IL,1,32,16,,,,,
Princeville,IL,14,17,15,,,,,
Putnam,IL,24,15,16,,,,,
Roanoke,IL,15,17,17,,,,,
Rome,IL,18,18,15,,,,,
Saint David,IL,21,17,15,,,,,
South Pekin,IL,26,16,13,,,,,
Sparland,IL,15,15,13,,,,,
Topeka,IL,16,22,14,,,,,
Tremont,IL,17,23,15,,,,,
Trivoli,IL,9,27,15,,,,,
Washburn,IL,15,24,15,,,,,
Washington,IL,12,28,15,,,,,
Yates City,IL,17,26,14,,,,,
Peoria,IL,30,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Creve Coeur,IL,48,36,14,,,,,
East Peoria,IL,29,24,13,,,,,
Peoria,IL,2,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Peoria,IL,1,25,14,,,,,
Bloomington,IL,25,23,15,,,,,
Bloomington,IL,1,23,15,,,,,
Bloomington,IL,1,23,15,,,,,
Bloomington,IL,1,23,15,,,,,
Bloomington,IL,1,23,15,,,,,
Anchor,IL,12,17,16,,,,,
Armington,IL,18,17,14,,,,,
Arrowsmith,IL,13,20,16,,,,,
Atlanta,IL,14,19,16,,,,,
Bellflower,IL,23,18,14,,,,,
Carlock,IL,16,23,15,,,,,
Chenoa,IL,26,22,16,,,,,
Clinton,IL,17,23,16,,,,,
Colfax,IL,12,27,15,,,,,
Congerville,IL,16,24,14,,,,,
Cooksville,IL,17,24,14,,,,,
Cropsey,IL,18,29,15,,,,,
Danvers,IL,22,26,15,,,,,
Deer Creek,IL,15,24,16,,,,,
Delavan,IL,11,32,15,,,,,
Dewitt,IL,20,29,16,,,,,
Downs,IL,14,27,13,,,,,
Ellsworth,IL,22,28,14,,,,,
El Paso,IL,21,33,11,,,,,
Fairbury,IL,18,31,13,,,,,
Flanagan,IL,22,22,15,,,,,
Forrest,IL,11,31,13,,,,,
Goodfield,IL,19,33,13,,,,,
Graymont,IL,18,28,14,,,,,
Gridley,IL,11,36,14,,,,,
Heyworth,IL,19,41,16,,,,,
Hopedale,IL,15,8,16,,,,,
Hudson,IL,20,13,16,,,,,
Kenney,IL,20,24,16,,,,,
Lane,IL,19,16,15,,,,,
Lawndale,IL,17,15,15,,,,,
Le Roy,IL,13,17,15,,,,,
Lexington,IL,16,21,15,,,,,
Mc Lean,IL,19,23,14,,,,,
Mackinaw,IL,14,28,15,,,,,
Maroa,IL,14,25,15,,,,,
Merna,IL,23,24,14,,,,,
Minier,IL,18,25,14,,,,,
Minonk,IL,7,27,15,,,,,
Normal,IL,14,20,14,,,,,
Pontiac,IL,25,33,17,,,,,
Saunemin,IL,21,10,15,,,,,
Saybrook,IL,17,13,16,,,,,
Secor,IL,19,18,15,,,,,
Shirley,IL,19,12,14,,,,,
Sibley,IL,13,12,11,,,,,
Stanford,IL,22,21,12,,,,,
Strawn,IL,16,21,12,,,,,
Towanda,IL,13,18,13,,,,,
Wapella,IL,19,18,15,,,,,
Waynesville,IL,24,25,15,,,,,
Normal,IL,15,20,14,,,,,
Bloomington,IL,40,23,15,,,,,
Bloomington,IL,1,23,15,,,,,
Urbana,IL,20,19,15,,,,,
Urbana,IL,1,19,15,,,,,
Urbana,IL,1,19,15,,,,,
Allerton,IL,24,19,16,,,,,
Alvin,IL,18,16,15,,,,,
Armstrong,IL,14,23,16,,,,,
Bement,IL,14,21,15,,,,,
Bismarck,IL,13,22,15,,,,,
Bondville,IL,36,17,16,,,,,
Broadlands,IL,22,24,14,,,,,
Catlin,IL,18,25,15,,,,,
Cerro Gordo,IL,21,27,13,,,,,
Champaign,IL,14,26,14,,,,,
Champaign,IL,1,26,14,,,,,
Champaign,IL,1,26,14,,,,,
Champaign,IL,1,26,14,,,,,
Champaign,IL,1,26,14,,,,,
Champaign,IL,1,26,14,,,,,
Cisco,IL,13,27,15,,,,,
Collison,IL,16,25,13,,,,,
Danville,IL,13,27,15,,,,,
Tilton,IL,28,16,15,,,,,
Danville,IL,2,27,15,,,,,
De Land,IL,21,29,15,,,,,
Dewey,IL,17,30,15,,,,,
Fairmount,IL,18,32,14,,,,,
Farmer City,IL,17,32,15,,,,,
Fisher,IL,14,29,16,,,,,
Fithian,IL,10,21,13,,,,,
Foosland,IL,19,33,16,,,,,
Georgetown,IL,20,26,13,,,,,
Gifford,IL,18,28,15,,,,,
Henning,IL,14,39,17,,,,,
Homer,IL,19,15,16,,,,,
Indianola,IL,11,18,16,,,,,
Ivesdale,IL,20,23,14,,,,,
Longview,IL,22,21,13,,,,,
Mahomet,IL,14,25,15,,,,,
Mansfield,IL,16,21,15,,,,,
Milmine,IL,21,23,14,,,,,
Monticello,IL,20,24,16,,,,,
Muncie,IL,24,28,13,,,,,
Oakwood,IL,27,23,15,,,,,
Ogden,IL,19,26,16,,,,,
Penfield,IL,14,31,15,,,,,
Pesotum,IL,18,23,14,,,,,
Philo,IL,22,24,13,,,,,
Potomac,IL,18,14,15,,,,,
Rantoul,IL,15,22,15,,,,,
Ridge Farm,IL,21,18,16,,,,,
Royal,IL,17,12,15,,,,,
Sadorus,IL,17,16,14,,,,,
Saint Joseph,IL,20,21,15,,,,,
Savoy,IL,17,10,15,,,,,
Seymour,IL,17,19,14,,,,,
Sidell,IL,12,15,14,,,,,
Sidney,IL,8,16,13,,,,,
Thomasboro,IL,19,18,14,,,,,
Tolono,IL,12,22,16,,,,,
Weldon,IL,17,22,15,,,,,
Westville,IL,18,23,14,,,,,
White Heath,IL,17,22,15,,,,,
Arcola,IL,74,28,16,,,,,
Arthur,IL,41,25,16,,,,,
Ashmore,IL,27,13,17,,,,,
Atwood,IL,25,15,17,,,,,
Bethany,IL,23,21,15,,,,,
Brocton,IL,18,19,15,,,,,
Camargo,IL,20,31,15,,,,,
Charleston,IL,22,22,14,,,,,
Chrisman,IL,15,29,12,,,,,
Dalton City,IL,19,21,13,,,,,
Gays,IL,23,26,16,,,,,
Hammond,IL,20,30,17,,,,,
Hindsboro,IL,13,39,16,,,,,
Humboldt,IL,16,16,16,,,,,
Hume,IL,11,14,15,,,,,
Kansas,IL,21,26,16,,,,,
La Place,IL,17,22,15,,,,,
Lovington,IL,16,18,13,,,,,
Mattoon,IL,20,23,15,,,,,
Metcalf,IL,19,22,15,,,,,
Murdock,IL,19,25,14,,,,,
Newman,IL,24,25,14,,,,,
Oakland,IL,18,25,15,,,,,
Paris,IL,24,26,14,,,,,
Redmon,IL,18,19,14,,,,,
Sullivan,IL,19,22,14,,,,,
Tuscola,IL,24,19,13,,,,,
Vermilion,IL,18,22,16,,,,,
Villa Grove,IL,15,19,15,,,,,
Windsor,IL,21,25,14,,,,,
Alhambra,IL,46,17,13,,,,,
Alton,IL,29,12,15,,,,,
Batchtown,IL,30,17,13,,,,,
Benld,IL,22,19,16,,,,,
Bethalto,IL,14,20,14,,,,,
Bingham,IL,19,18,16,,,,,
Brighton,IL,19,18,14,,,,,
Brussels,IL,12,25,14,,,,,
Bunker Hill,IL,17,29,15,,,,,
Butler,IL,16,24,16,,,,,
Carrollton,IL,24,25,16,,,,,
Coffeen,IL,21,25,15,,,,,
Cottage Hills,IL,23,24,14,,,,,
Donnellson,IL,22,33,14,,,,,
Dorsey,IL,17,27,16,,,,,
Dow,IL,12,31,16,,,,,
Eagarville,IL,21,31,14,,,,,
East Alton,IL,17,33,14,,,,,
Edwardsville,IL,16,31,14,,,,,
Edwardsville,IL,1,31,14,,,,,
Eldred,IL,13,32,15,,,,,
Elsah,IL,18,29,16,,,,,
Fidelity,IL,12,28,15,,,,,
Fieldon,IL,10,28,15,,,,,
Fillmore,IL,9,28,15,,,,,
Gillespie,IL,24,29,13,,,,,
Glen Carbon,IL,19,27,15,,,,,
Godfrey,IL,16,25,15,,,,,
Golden Eagle,IL,14,28,13,,,,,
Grafton,IL,14,27,15,,,,,
Granite City,IL,12,30,13,,,,,
Greenfield,IL,16,28,16,,,,,
Hamburg,IL,15,32,14,,,,,
Hamel,IL,8,30,15,,,,,
Hardin,IL,23,31,15,,,,,
Hartford,IL,18,33,14,,,,,
Hillsboro,IL,18,40,17,,,,,
Hillview,IL,12,38,16,,,,,
Irving,IL,23,22,16,,,,,
Jerseyville,IL,18,25,16,,,,,
Kampsville,IL,13,32,16,,,,,
Kane,IL,8,31,17,,,,,
Litchfield,IL,25,16,16,,,,,
Livingston,IL,14,18,15,,,,,
Lovejoy,IL,14,16,15,,,,,
Madison,IL,17,24,15,,,,,
Marine,IL,11,24,14,,,,,
Maryville,IL,16,25,13,,,,,
Medora,IL,18,25,15,,,,,
Michael,IL,18,26,14,,,,,
Moro,IL,20,27,12,,,,,
Mount Olive,IL,16,36,14,,,,,
Mozier,IL,12,31,14,,,,,
National Stock Yards,IL,24,20,15,,,,,
New Douglas,IL,15,20,13,,,,,
Nokomis,IL,19,22,13,,,,,
Ohlman,IL,15,23,16,,,,,
Panama,IL,16,33,15,,,,,
Patterson,IL,19,30,12,,,,,
Piasa,IL,18,24,16,,,,,
Ramsey,IL,19,16,17,,,,,
Rockbridge,IL,22,15,14,,,,,
Roodhouse,IL,15,15,15,,,,,
Rosamond,IL,13,19,13,,,,,
Roxana,IL,13,11,16,,,,,
Sawyerville,IL,15,16,16,,,,,
Sorento,IL,27,13,12,,,,,
South Roxana,IL,17,15,13,,,,,
Staunton,IL,20,21,14,,,,,
Taylor Springs,IL,14,26,15,,,,,
Venice,IL,18,23,14,,,,,
Walshville,IL,22,15,13,,,,,
White Hall,IL,11,25,15,,,,,
Wilsonville,IL,18,31,14,,,,,
Witt,IL,19,32,15,,,,,
Wood River,IL,12,29,15,,,,,
Worden,IL,11,23,15,,,,,
Wrights,IL,11,25,13,,,,,
East Saint Louis,IL,82,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
East Saint Louis,IL,1,24,14,,,,,
Fairview Heights,IL,48,27,14,,,,,
Addieville,IL,33,9,13,,,,,
Albers,IL,25,15,15,,,,,
Aviston,IL,23,21,17,,,,,
Baldwin,IL,17,19,15,,,,,
Bartelso,IL,12,15,14,,,,,
Beckemeyer,IL,12,21,16,,,,,
Belleville,IL,19,17,14,,,,,
Belleville,IL,1,17,14,,,,,
Belleville,IL,1,17,14,,,,,
Belleville,IL,1,17,14,,,,,
Mascoutah,IL,22,21,15,,,,,
Scott Air Force Base,IL,24,21,16,,,,,
Belleville,IL,3,17,14,,,,,
Breese,IL,25,25,16,,,,,
Carlyle,IL,17,22,13,,,,,
Caseyville,IL,18,26,13,,,,,
Chester,IL,19,16,16,,,,,
Collinsville,IL,16,24,15,,,,,
Columbia,IL,17,23,13,,,,,
Coulterville,IL,18,24,14,,,,,
Cutler,IL,14,23,13,,,,,
Dupo,IL,18,29,13,,,,,
East Carondelet,IL,14,25,14,,,,,
Ellis Grove,IL,16,27,14,,,,,
Evansville,IL,15,29,16,,,,,
Freeburg,IL,34,32,15,,,,,
Fults,IL,23,30,16,,,,,
Germantown,IL,17,30,15,,,,,
Greenville,IL,22,34,15,,,,,
Hagarstown,IL,16,35,16,,,,,
Hecker,IL,17,35,15,,,,,
Highland,IL,19,40,15,,,,,
Hoffman,IL,18,37,15,,,,,
Huey,IL,15,19,15,,,,,
Keyesport,IL,25,20,15,,,,,
Lebanon,IL,20,16,15,,,,,
Lenzburg,IL,18,12,12,,,,,
Maeystown,IL,19,24,16,,,,,
Marissa,IL,13,25,13,,,,,
Mascoutah,IL,2,21,15,,,,,
Menard,IL,18,26,13,,,,,
Millstadt,IL,18,21,14,,,,,
Modoc,IL,20,27,14,,,,,
Mulberry Grove,IL,12,29,14,,,,,
Nashville,IL,12,24,15,,,,,
