Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Lancaster,MA,17,9,9,,,,,
Leicester,MA,23,9,13,,,,,
Linwood,MA,20,10,6,,,,,
Manchaug,MA,24,11,8,,,,,
Millbury,MA,23,12,13,,,,,
Millville,MA,12,13,6,,,,,
New Braintree,MA,19,13,5,,,,,
Northborough,MA,12,13,13,,,,,
Northbridge,MA,6,14,14,,,,,
North Brookfield,MA,18,13,9,,,,,
North Grafton,MA,14,13,12,,,,,
North Oxford,MA,14,12,10,,,,,
North Uxbridge,MA,19,13,13,,,,,
Oxford,MA,20,14,8,,,,,
Princeton,MA,24,4,8,,,,,
Rochdale,MA,18,5,17,,,,,
Rutland,MA,18,5,14,,,,,
Shrewsbury,MA,17,9,12,,,,,
Shrewsbury,MA,1,9,12,,,,,
Southbridge,MA,14,7,12,,,,,
South Grafton,MA,12,8,11,,,,,
South Lancaster,MA,7,8,10,,,,,
Spencer,MA,22,8,9,,,,,
Sterling,MA,15,10,7,,,,,
Sturbridge,MA,19,10,11,,,,,
Upton,MA,22,10,11,,,,,
Uxbridge,MA,13,11,7,,,,,
Webster,MA,21,15,12,,,,,
Dudley,MA,49,20,12,,,,,
Westborough,MA,20,16,13,,,,,
Westborough,MA,1,16,13,,,,,
Westborough,MA,1,16,13,,,,,
West Boylston,MA,21,14,10,,,,,
West Brookfield,MA,7,15,12,,,,,
West Millbury,MA,21,15,11,,,,,
Whitinsville,MA,21,16,13,,,,,
Sutton,MA,26,11,11,,,,,
Worcester,MA,23,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Cherry Valley,MA,22,15,12,,,,,
Paxton,MA,31,17,12,,,,,
Worcester,MA,2,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Worcester,MA,1,20,15,,,,,
Framingham,MA,35,19,7,,,,,
Framingham,MA,1,19,7,,,,,
Framingham,MA,1,19,7,,,,,
Framingham,MA,1,19,7,,,,,
Framingham,MA,1,19,7,,,,,
Village Of Nagog Woods,MA,29,12,10,,,,,
Boxborough,MA,29,11,14,,,,,
Acton,MA,15,5,13,,,,,
Ashland,MA,16,8,14,,,,,
Bedford,MA,21,8,13,,,,,
Hanscom Afb,MA,27,23,12,,,,,
Bolton,MA,18,9,16,,,,,
Carlisle,MA,26,14,6,,,,,
Concord,MA,21,16,13,,,,,
Fayville,MA,20,17,13,,,,,
Holliston,MA,15,28,16,,,,,
Hopedale,MA,16,6,6,,,,,
Hopkinton,MA,12,7,15,,,,,
Hudson,MA,15,7,9,,,,,
Marlborough,MA,23,12,14,,,,,
Maynard,MA,17,13,1,,,,,
Mendon,MA,19,14,7,,,,,
Milford,MA,22,11,7,,,,,
Natick,MA,16,14,9,,,,,
Sherborn,MA,21,9,9,,,,,
Southborough,MA,11,8,15,,,,,
Lincoln,MA,27,11,9,,,,,
Stow,MA,21,11,15,,,,,
Sudbury,MA,15,11,13,,,,,
Wayland,MA,15,16,12,,,,,
Woodville,MA,21,21,6,,,,,
Woburn,MA,16,22,7,,,,,
Burlington,MA,39,15,14,,,,,
Burlington,MA,1,15,14,,,,,
Woburn,MA,3,22,7,,,,,
Woburn,MA,1,22,7,,,,,
Woburn,MA,1,22,7,,,,,
Andover,MA,29,9,11,,,,,
Andover,MA,1,9,11,,,,,
Woburn,MA,3,22,7,,,,,
Woburn,MA,1,22,7,,,,,
Billerica,MA,18,11,15,,,,,
Billerica,MA,1,11,15,,,,,
Chelmsford,MA,24,16,10,,,,,
Dracut,MA,17,20,9,,,,,
Dunstable,MA,13,21,9,,,,,
Haverhill,MA,23,25,10,,,,,
Haverhill,MA,1,25,10,,,,,
Haverhill,MA,1,25,10,,,,,
Georgetown,MA,23,19,13,,,,,
Groveland,MA,16,24,11,,,,,
Haverhill,MA,3,25,10,,,,,
Lawrence,MA,23,9,9,,,,,
Lawrence,MA,1,9,9,,,,,
Lawrence,MA,1,9,9,,,,,
Lawrence,MA,1,9,9,,,,,
Methuen,MA,21,15,13,,,,,
North Andover,MA,19,14,14,,,,,
Lowell,MA,24,9,12,,,,,
Lowell,MA,1,9,12,,,,,
Lowell,MA,1,9,12,,,,,
Lowell,MA,1,9,12,,,,,
Lowell,MA,1,9,12,,,,,
Merrimac,MA,16,16,9,,,,,
North Billerica,MA,18,15,13,,,,,
North Chelmsford,MA,11,14,11,,,,,
North Reading,MA,11,14,15,,,,,
Nutting Lake,MA,23,13,10,,,,,
Pinehurst,MA,23,16,11,,,,,
Reading,MA,23,5,12,,,,,
Tewksbury,MA,21,11,7,,,,,
Tyngsboro,MA,14,11,15,,,,,
Wakefield,MA,13,13,7,,,,,
West Boxford,MA,15,15,13,,,,,
Westford,MA,13,15,12,,,,,
Wilmington,MA,20,22,9,,,,,
Woburn,MA,2,22,7,,,,,
North Reading,MA,14,14,15,,,,,
Winchester,MA,16,21,15,,,,,
Andover,MA,16,9,11,,,,,
Lynn,MA,19,12,8,,,,,
Lynn,MA,1,12,8,,,,,
Lynn,MA,1,12,8,,,,,
Lynn,MA,1,12,8,,,,,
Lynn,MA,1,12,8,,,,,
Saugus,MA,24,6,9,,,,,
Swampscott,MA,21,12,10,,,,,
Nahant,MA,19,15,7,,,,,
Lynn,MA,3,12,8,,,,,
Amesbury,MA,13,5,13,,,,,
Beverly,MA,20,12,8,,,,,
Boxford,MA,16,12,16,,,,,
Byfield,MA,22,16,5,,,,,
Danvers,MA,21,18,7,,,,,
Essex,MA,20,18,6,,,,,
Gloucester,MA,28,19,13,,,,,
Gloucester,MA,1,19,13,,,,,
Hamilton,MA,19,22,12,,,,,
Hathorne,MA,15,26,14,,,,,
Ipswich,MA,22,10,9,,,,,
Lynnfield,MA,11,13,13,,,,,
Manchester,MA,19,13,14,,,,,
Marblehead,MA,15,14,6,,,,,
Salem,MA,25,6,13,,,,,
Middleton,MA,13,12,13,,,,,
Newburyport,MA,19,13,8,,,,,
Newbury,MA,10,14,12,,,,,
Salisbury,MA,16,7,13,,,,,
Peabody,MA,23,18,7,,,,,
Peabody,MA,1,18,7,,,,,
Prides Crossing,MA,18,5,11,,,,,
Rockport,MA,19,6,7,,,,,
Rowley,MA,15,6,13,,,,,
Salem,MA,2,6,13,,,,,
Salem,MA,1,6,13,,,,,
South Hamilton,MA,19,9,14,,,,,
Topsfield,MA,22,12,8,,,,,
Wenham,MA,15,16,11,,,,,
West Newbury,MA,18,16,12,,,,,
Accord,MA,40,6,14,,,,,
Bellingham,MA,32,9,8,,,,,
Brant Rock,MA,27,11,9,,,,,
Canton,MA,25,17,13,,,,,
Cohasset,MA,24,16,8,,,,,
Dedham,MA,22,19,12,,,,,
Dedham,MA,1,19,12,,,,,
Dover,MA,15,21,12,,,,,
East Mansfield,MA,16,17,9,,,,,
East Walpole,MA,13,18,12,,,,,
Foxboro,MA,14,20,11,,,,,
Franklin,MA,21,20,12,,,,,
Greenbush,MA,19,23,10,,,,,
Green Harbor,MA,13,24,7,,,,,
Hingham,MA,17,27,13,,,,,
Hingham,MA,1,27,13,,,,,
Hull,MA,15,8,10,,,,,
Humarock,MA,9,9,14,,,,,
Mansfield,MA,17,15,9,,,,,
Marshfield,MA,20,14,14,,,,,
Marshfield Hills,MA,7,15,11,,,,,
Medfield,MA,21,15,9,,,,,
Medway,MA,16,16,10,,,,,
Millis,MA,21,14,13,,,,,
Minot,MA,27,14,7,,,,,
Norfolk,MA,20,14,12,,,,,
North Marshfield,MA,18,13,13,,,,,
North Scituate,MA,12,15,9,,,,,
Norwell,MA,16,14,9,,,,,
Norwood,MA,11,15,12,,,,,
Ocean Bluff,MA,18,15,9,,,,,
Scituate,MA,23,8,8,,,,,
Sharon,MA,18,9,11,,,,,
Sheldonville,MA,14,10,13,,,,,
South Walpole,MA,22,8,13,,,,,
Stoughton,MA,17,12,11,,,,,
Walpole,MA,24,10,8,,,,,
Westwood,MA,15,15,9,,,,,
Wrentham,MA,14,19,12,,,,,
Boston,MA,65,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Mattapan,MA,20,15,12,,,,,
Boston,MA,2,12,13,,,,,
Boston,MA,1,12,13,,,,,
Charlestown,MA,28,16,12,,,,,
Jamaica Plain,MA,18,11,15,,,,,
Roslindale,MA,26,7,14,,,,,
West Roxbury,MA,18,17,14,,,,,
Boston,MA,5,12,13,,,,,
Allston,MA,17,6,8,,,,,
Brighton,MA,21,12,13,,,,,
Hyde Park,MA,22,7,9,,,,,
Readville,MA,20,6,15,,,,,
Cambridge,MA,18,18,12,,,,,
Cambridge,MA,1,18,12,,,,,
Cambridge,MA,1,18,12,,,,,
Cambridge,MA,1,18,12,,,,,
Cambridge,MA,1,18,12,,,,,
Somerville,MA,30,6,10,,,,,
Somerville,MA,1,6,10,,,,,
Somerville,MA,1,6,10,,,,,
Brookline,MA,21,14,14,,,,,
Brookline Village,MA,8,15,6,,,,,
Malden,MA,24,14,9,,,,,
Everett,MA,24,19,8,,,,,
Chelsea,MA,16,17,14,,,,,
Revere,MA,20,7,11,,,,,
Winthrop,MA,19,23,15,,,,,
Medford,MA,19,17,15,,,,,
Waltham,MA,19,11,10,,,,,
Medford,MA,3,17,15,,,,,
West Medford,MA,19,16,14,,,,,
Babson Park,MA,31,10,15,,,,,
Newton,MA,23,15,7,,,,,
Newton,MA,1,15,7,,,,,
Newton,MA,1,15,7,,,,,
Newton,MA,1,15,7,,,,,
